,nl_query,db
1567,"Identify all the influencers in a given topic area.
",graph
1568,"Find all the contributors to open source projects starting with 'G'.
",graph
1569,"List all employees who have the same job title and manager.
",graph
1570,"What are the potential fraud rings based on transaction patterns?
",graph
1571,"Identify suppliers who have provided materials for more than five projects.
",graph
1572,"Find the top ten nodes with the most care edges.
",graph
1573,"List all the hashtags related to a trending event.
",graph
1574,"Retrieve all direct flight routes between two airports.
",graph
1575,"Identify the geographical regions with the most networked users.
",graph
1576,"Find all nodes with both friend and foe relationships.
",graph
1577,"Determine which users have the same birthday as user Q.
",graph
1578,"Identify all book genres read by more than a hundred readers.
",graph
1579,"Retrieve all sports teams that player R has been a part of.
",graph
1580,"Find all the nodes sharing more than two communal events.
",graph
1581,"What are the recurring motifs in this network of nodes?
",graph
1582,"Identify the top collaborators of researcher S.
",graph
1583,"Find all influencers whose follower's follower count exceeds a thousand.
",graph
1584,"List all cities connected by three hops in this transportation network.
",graph
1585,"Find products bought together across more than four transactions.
",graph
1586,"List authors published in both journals X and Y.
",graph
1587,"Retrieve all paths between customer A and service B with cost limits.
",graph
1588,"Identify users viewing the same legal documents.
",graph
1589,"Which pages do users with similar reading patterns visit?
",graph
1590,"Find all nodes connected through a 'trust' relationship.
",graph
1591,"Determine the connection path count between any two nodes.
",graph
1592,"Retrieve all subcategories linked to main category M.
",graph
1593,"Discover financial connections of interest between company D, E, and F.
",graph
1594,"List international students attending sports events.
",graph
1595,"Uncover correlation between cooking styles and ingredients.
",graph
1596,"Identify frequency shared actions of connected devices.
",graph
1597,"Find all architects who've participated in cross-country projects.
",graph
1598,"Which travelers visited overlapping tourist locations?
",graph
1599,"Identify shared protocols among computer networks.
",graph
1600,"List all currencies used in marketing across regions.
",graph
1601,"Find occupations networking most in conferences together.
",graph
1602,"Reveal co-laboratory associations in scientific research.
",graph
1603,"List commonly shared digital assets in creative fields.
",graph
1604,"Trace through lineage discrepancies in historical archives.
",graph
1605,"Evaluate network bridges forming between ethnic groups.
",graph
1606,"Chart all migratory patterns encapsulating specific traits.
",graph
1607,"Identify art influences spanning across distinct timelines.
",graph
1608,"Find scholars publishing on similar scientific phenomena.
",graph
1609,"Explore connections involving emergent business sectors.
",graph
1610,"Retrieve any ecological links bridging habitats.
",graph
1611,"Identify all cooperative initiatives between non-profits.
",graph
1612,"Highlight transitional patterns between citizens and states.
",graph
1613,"Track monetary flows encompassing complex economic systems.
",graph
1614,"Identify multiple collaborations within a music album.
",graph
1615,"List companions sharing housing agreements during travels.
",graph
1616,"Reveal hyperreal abstracts exchanged by visual artists.
",graph
1617,"Extract timeline deviations in storytelling forms.
",graph
1618,"Discover co-developing tech applicable cross-industry.
",graph
1619,"Find joint academic publications from tenured faculties.
",graph
1620,"Map channel partnerships beyond geographic conglomerates.
",graph
1621,"Determine governance protocols aligning across councils.
",graph
1622,"Group change-makers rallying behind particular global causes.
",graph
1623,"Chart variations in educational approaches by institution.
",graph
1624,"Reveal person-to-person exchanges hinting at cultural trends.
",graph
1625,"Discover nodes acting as key repositories in information networks.
",graph
1626,"List collaboration increases in remote setups post-incident.
",graph
1627,"Connect any nonlinear articulations within intellectual compositions.
",graph
1628,"Retrieve multi-tiered endorsements involving social advocacy.
",graph
1629,"Retrieve all documents from the ""users"" collection.
",nosql
1630,"Find all products that are currently out of stock.
",nosql
1631,"List all orders placed within the last 30 days.
",nosql
1632,"Get the details of a specific user by their email address.
",nosql
1633,"Show all blog posts tagged as ""MongoDB.""
",nosql
1634,"Find all movies released in the year 2021.
",nosql
1635,"Retrieve customers who have made purchases over $500.
",nosql
1636,"List all employees in the ""Engineering"" department.
",nosql
1637,"Get the top five most expensive products in the catalog.
",nosql
1638,"Find articles authored by ""John Doe.""
",nosql
1639,"Show all tasks that are marked as ""complete.""
",nosql
1640,"Retrieve the number of unique visitors in the last week.
",nosql
1641,"List all songs from the album titled ""Revolution.""
",nosql
1642,"Get details of all transactions from a specific store location.
",nosql
1643,"Find all reviews with a rating of 4 stars or higher.
",nosql
1644,"Retrieve all comments from the last 24 hours.
",nosql
1645,"Show all books written by ""Jane Austen.""
",nosql
1646,"Find all hotels in ""New York City"" with available rooms.
",nosql
1647,"Retrieve the latest news articles sorted by publication date.
",nosql
1648,"List all products with a discount greater than 20%.
",nosql
1649,"Get all user profiles created after January 1, 2020.
",nosql
1650,"Find all courses in the ""Computer Science"" category.
",nosql
1651,"Retrieve restaurants open after 10 PM on weekends.
",nosql
1652,"Show all movies streaming in ""HD"" quality.
",nosql
1653,"Find all cars listed in the ""SUV"" category for sale.
",nosql
1654,"Retrieve all photo albums created by ""alice@example.com.""
",nosql
1655,"List all events happening in the month of December.
",nosql
1656,"Get documents from the ""inventory"" collection with stock less than 10.
",nosql
1657,"Find all employees with a title of ""Manager.""
",nosql
1658,"Retrieve all flights departing from ""JFK Airport.""
",nosql
1659,"List all available job postings in ""San Francisco.""
",nosql
1660,"Get the contact information of all suppliers.
",nosql
1661,"Find all recipes that are vegan-friendly.
",nosql
1662,"Retrieve all locations where ""John"" has checked in.
",nosql
1663,"Show all museums located in ""Los Angeles.""
",nosql
1664,"Find articles published in ""Science"" magazine.
",nosql
1665,"Retrieve all podcasts under 30 minutes in duration.
",nosql
1666,"List all artists who have won a ""Grammy Award.""
",nosql
1667,"Get all rental properties with monthly rent below $2000.
",nosql
1668,"Find all conference sessions scheduled for today.
",nosql
1669,"Retrieve all clients with overdue payments.
",nosql
1670,"Show all images uploaded in the ""Nature"" category.
",nosql
1671,"Find all schools offering ""Spanish"" courses.
",nosql
1672,"Retrieve all investment accounts with a balance over $10,000.
",nosql
